t,acc_gal
32.98,0.925
33,2.252
33.02,1.612
33.04,0.791
33.06,2.227
33.08,2.503
33.1,1.332
33.12,1.79
33.14,3.14
33.16,2.773
33.18,2.339
33.2,1.188
33.22,2.608
33.24,2.288
33.26,2.523
33.28,0.646
33.3,-0.099
33.32,0.164
33.34,-0.007
33.36,1.639
33.38,2.492
33.4,2.843
33.42,1.212
33.44,-1.417
33.46,-2.776
33.48,-4.714
33.5,-5.274
33.52,-2.785
33.54,0.189
33.56,-0.55
33.58,-0.94
33.6,1.954
33.62,2.794
33.64,2.629
33.66,0.532
33.68,0.175
33.7,-0.274
33.72,-2.255
33.74,-2.874
33.76,-2.287
33.78,-1.893
33.8,-0.997
33.82,-0.805
33.84,-2.32
33.86,-1.228
33.88,-1.499
33.9,-3.705
33.92,-3.697
33.94,-2.639
33.96,-2.854
33.98,-2.242
34,-1.9
34.02,-2.91
34.04,-2.044
34.06,-0.995
34.08,-0.205
34.1,-0.516
34.12,-2.286
34.14,-2.583
34.16,-0.481
34.18,-2.011
34.2,-2.075
34.22,-0.253
34.24,-0.029
34.26,0.935
34.28,1.261
34.3,1.255
34.32,2.576
34.34,2
34.36,0.153
34.38,-0.737
34.4,-1.883
34.42,-2.293
34.44,-3.122
34.46,-3.318
34.48,-1.979
34.5,0.079
34.52,1.073
34.54,2.22
34.56,2.273
34.58,2.137
34.6,2.345
34.62,1.216
34.64,-0.775
34.66,0.145
34.68,1.567
34.7,1.339
34.72,-0.095
34.74,1.066
34.76,2.404
34.78,1.875
34.8,1.674
34.82,2.278
34.84,3.668
34.86,3.102
34.88,2.62
34.9,2.463
34.92,1.313
34.94,-0.522
34.96,-1.123
34.98,-3.008
35,-1.639
35.02,1.118
35.04,0.412
35.06,0.2
35.08,1.121
35.1,2.454
35.12,0.445
35.14,-0.229
35.16,-0.357
35.18,0.347
35.2,2.142
35.22,2.001
35.24,1.771
35.26,0.514
35.28,1.308
35.3,2.17
35.32,2.102
35.34,2.384
35.36,0.959
35.38,-0.229
35.4,0.182
35.42,1.062
35.44,1.589
35.46,2.044
35.48,1.868
35.5,2.129
35.52,0.041
35.54,-0.335
35.56,-0.466
35.58,-2.011
35.6,-3.071
35.62,-3.089
35.64,-1.175
35.66,-0.322
35.68,1.739
35.7,0.841
35.72,0.197
35.74,-0.499
35.76,-1.172
35.78,-0.995
35.8,-1.939
35.82,-2.682
35.84,-2.687
35.86,-0.505
35.88,-0.835
35.9,0.617
35.92,0.239
35.94,-1.133
35.96,-1.237
35.98,-1.69
36,-1.54
36.02,-3.791
36.04,-3.544
36.06,-1.446
36.08,-1.546
36.1,-2.264
36.12,-1.872
36.14,0.173
36.16,0.034
36.18,-1.578
36.2,-1.086
36.22,-1.744
36.24,0.081
36.26,-0.111
36.28,-1.357
36.3,-1.805
36.32,-0.896
36.34,-1.364
36.36,-0.82
36.38,1.276
36.4,1.493
36.42,0.625
36.44,-0.458
36.46,1.547
36.48,0.982
36.5,1.924
36.52,1.941
36.54,0.95
36.56,1.176
36.58,1.045
36.6,1.628
36.62,-0.601
36.64,-0.724
36.66,-0.03
36.68,-0.791
36.7,-0.336
36.72,-0.415
36.74,0.516
36.76,1.299
36.78,0.994
36.8,0.747
36.82,1.185
36.84,-0.561
36.86,-1.2
36.88,-1.579
36.9,-0.599
36.92,-1.091
36.94,-1.394
36.96,-1.476
36.98,-0.968
37,1.208
37.02,1.376
37.04,2.629
37.06,2.032
37.08,1.512
37.1,1.846
37.12,1.28
37.14,1.716
37.16,1.102
37.18,1.269
37.2,1.009
37.22,0.835
37.24,0.86
37.26,0.209
37.28,-0.218
37.3,-0.852
37.32,-0.428
37.34,-1.212
37.36,-0.589
37.38,-1.084
37.4,-1.204
37.42,0.157
37.44,1.37
37.46,0.075
37.48,-1.568
37.5,0.745
37.52,1.167
37.54,1.11
37.56,1.687
37.58,1.236
37.6,0.412
37.62,-0.659
37.64,-0.242
37.66,0.12
37.68,0.267
37.7,-0.271
37.72,-1.048
37.74,-0.997
37.76,-0.988
37.78,-1.337
37.8,-0.766
37.82,-0.757
37.84,-0.896
37.86,-0.994
37.88,0.353
37.9,1.402
37.92,1.079
37.94,1.405
37.96,0.625
37.98,-0.012
38,0.428
38.02,-0.239
38.04,0.595
38.06,-0.346
38.08,-1.461
38.1,-1.528
38.12,-1.981
38.14,-1.434
38.16,-1.626
38.18,-1.335
38.2,-3.133
38.22,-4.268
38.24,-3.359
38.26,-2.438
38.28,-4.008
38.3,-3.316
38.32,-2.147
38.34,-1.517
38.36,-1.193
38.38,-1.492
38.4,-1.144
38.42,-1.343
38.44,-1.494
38.46,-1.35
38.48,-1.571
38.5,-0.83
38.52,1.167
38.54,-0.898
38.56,-1.283
38.58,-1.281
38.6,-1.395
38.62,-2.955
38.64,-2.239
38.66,-1.085
38.68,-1.182
38.7,-0.448
38.72,-0.056
38.74,1.67
38.76,-0.376
38.78,-1.549
38.8,-2.074
38.82,-1.598
38.84,-0.6
38.86,-0.946
38.88,-1.352
38.9,-1.514
38.92,1.717
38.94,2.973
38.96,0.875
38.98,2.011
39,3.458
39.02,1.522
39.04,1.001
39.06,0.622
39.08,1.232
39.1,-0.192
39.12,-0.493
39.14,1.239
39.16,-0.441
39.18,-0.088
39.2,2.32
39.22,3.369
39.24,3.012
39.26,3.32
39.28,3.626
39.3,4.088
39.32,3.407
39.34,2.651
39.36,2.582
39.38,2.158
39.4,1.669
39.42,0.267
39.44,-0.035
39.46,0.118
39.48,-0.153
39.5,0.604
39.52,0.24
39.54,-0.236
39.56,0.128
39.58,0.004
39.6,1.664
39.62,1.37
39.64,1.83
39.66,2.738
39.68,0.709
39.7,-0.193
39.72,-0.115
39.74,-0.727
39.76,-0.285
39.78,-0.158
39.8,0.287
39.82,-1.19
39.84,-1.18
39.86,-0.199
39.88,-0.73
39.9,-0.305
39.92,0.143
39.94,-0.155
39.96,0.246
39.98,1.217
