t,acc_gal
7.54,6.249
7.56,52.681
7.58,38.105
7.6,45.374
7.62,43.506
7.64,30.979
7.66,-5.597
7.68,-32.18
7.7,-12.17
7.72,16.198
7.74,-23.923
7.76,-46.588
7.78,-12.731
7.8,-3.918
7.82,-39.522
7.84,-54.72
7.86,-74.012
7.88,-98.124
7.9,-24.567
7.92,21.341
7.94,22.934
7.96,29.92
7.98,24.08
8,48.416
8.02,91.82
8.04,96.965
8.06,12.644
8.08,-23.63
8.1,-24.951
8.12,-45.868
8.14,-43.963
8.16,-35.006
8.18,-22.333
8.2,-31.043
8.22,19.112
8.24,37.177
8.26,-8.109
8.28,-6.95
8.3,29.716
8.32,54.977
8.34,34.751
8.36,14.803
8.38,10.725
8.4,4.075
8.42,5.988
8.44,-12.584
8.46,-23.728
8.48,9.181
8.5,35.974
8.52,12.03
8.54,-5.596
8.56,-15.646
8.58,-6.319
8.6,36.311
8.62,4.123
8.64,1.662
8.66,23.934
8.68,8.917
8.7,17.477
8.72,14.676
8.74,16.703
8.76,53.366
8.78,26.047
8.8,-27.872
8.82,-41.617
8.84,-19.325
8.86,23.192
8.88,20.728
8.9,11.87
8.92,6.136
8.94,24.705
8.96,27.508
8.98,28.872
9,18.809
9.02,-3.675
9.04,-7.662
9.06,-6.358
9.08,-19.233
9.1,-0.609
9.12,31.917
9.14,20.207
9.16,-10.441
9.18,-40.351
9.2,-30.915
9.22,-21.852
9.24,-4.225
9.26,-2.114
9.28,-10.462
9.3,8.452
9.32,35.621
9.34,27.9
9.36,-13.459
9.38,-33.736
9.4,-29.055
9.42,-13.466
9.44,-5.679
9.46,-8.54
9.48,3.453
9.5,8.947
9.52,-5.899
9.54,-3.865
9.56,2.605
9.58,5.435
9.6,-0.788
9.62,-18.026
9.64,-39.052
9.66,-39.266
9.68,-15.323
9.7,-5.798
9.72,-6.952
9.74,-11.684
9.76,-15.441
9.78,-4.09
9.8,-1.845
9.82,-10.917
9.84,29.791
9.86,67.742
9.88,37.969
9.9,17.202
9.92,-3.956
9.94,-2.11
9.96,2.588
9.98,-20.125
10,-28.887
10.02,-25.422
10.04,-1.01
10.06,13.69
10.08,24.321
10.1,24.648
10.12,5.318
10.14,-1.397
10.16,16.362
10.18,17.827
10.2,-19.64
10.22,-28.024
10.24,-12.44
